match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1122731,Sri Lanka,India,India,India,field,Wankhede Stadium,Mumbai,2017-12-24,male
1168522,Ireland,Zimbabwe,Zimbabwe,Zimbabwe,field,Bready,Derry,2019-07-14,male
1267682,Zimbabwe,Bangladesh,Bangladesh,Zimbabwe,bat,Harare Sports Club,Harare,2021-07-25,male
1133823,Bangladesh,India,India,India,field,"R.Premadasa Stadium, Khettarama",Colombo,2018-03-18,male
351696,Australia,New Zealand,Australia,Australia,bat,Sydney Cricket Ground,,2009-02-15,male
1197529,Oman,Nepal,Oman,Oman,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2019-10-10,male
319142,West Indies,Australia,West Indies,West Indies,field,"Kensington Oval, Bridgetown",Barbados,2008-06-20,male
356016,Sri Lanka,West Indies,Sri Lanka,West Indies,field,Kennington Oval,London,2009-06-19,male
1478868,Zimbabwe,South Africa,South Africa,South Africa,field,Harare Sports Club,Harare,2025-07-20,male
1263157,West Indies,Australia,West Indies,Australia,field,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,2021-07-10,male
1019979,New Zealand,Bangladesh,New Zealand,Bangladesh,bat,McLean Park,Napier,2017-01-03,male
533273,Australia,Ireland,Australia,Ireland,bat,R Premadasa Stadium,Colombo,2012-09-19,male
951367,South Africa,Sri Lanka,South Africa,South Africa,field,Feroz Shah Kotla,Delhi,2016-03-28,male
1141835,Netherlands,Nepal,,Nepal,field,Lord's,London,2018-07-29,male
1157373,Pakistan,Australia,Pakistan,Pakistan,bat,Dubai International Cricket Stadium,,2018-10-26,male
238195,South Africa,Australia,South Africa,South Africa,bat,New Wanderers Stadium,Johannesburg,2006-02-24,male
1415725,United States of America,India,India,India,field,"Nassau County International Cricket Stadium, New York",New York,2024-06-12,male
682929,India,West Indies,India,India,field,Shere Bangla National Stadium,Mirpur,2014-03-23,male
1201680,Nepal,Zimbabwe,Zimbabwe,Nepal,bat,Indian Association Ground,Singapore,2019-09-27,male
1502052,Zimbabwe,Sri Lanka,Sri Lanka,Zimbabwe,bat,Rawalpindi Cricket Stadium,Rawalpindi,2025-11-25,male
1472527,Pakistan,West Indies,Pakistan,Pakistan,bat,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,2025-08-03,male
1233972,New Zealand,Australia,New Zealand,Australia,field,University Oval,Dunedin,2021-02-25,male
1387599,India,South Africa,India,South Africa,field,"The Wanderers Stadium, Johannesburg",Johannesburg,2023-12-14,male
648683,South Africa,Australia,Australia,Australia,field,SuperSport Park,Centurion,2014-03-14,male
356000,New Zealand,South Africa,South Africa,New Zealand,field,Lord's,London,2009-06-09,male
1426454,Namibia,Oman,Namibia,Namibia,bat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2024-04-07,male
1307477,New Zealand,Scotland,New Zealand,Scotland,field,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,2022-07-27,male
951371,India,West Indies,West Indies,West Indies,field,Wankhede Stadium,Mumbai,2016-03-31,male
401076,West Indies,Bangladesh,West Indies,Bangladesh,bat,"Warner Park, Basseterre",St Kitts,2009-08-02,male
1019981,New Zealand,Bangladesh,New Zealand,Bangladesh,field,Bay Oval,Mount Maunganui,2017-01-06,male
730285,West Indies,New Zealand,West Indies,New Zealand,field,"Windsor Park, Roseau",Dominica,2014-07-06,male
754717,Australia,South Africa,South Africa,Australia,bat,Adelaide Oval,,2014-11-05,male
1020029,New Zealand,South Africa,South Africa,New Zealand,field,Eden Park,Auckland,2017-02-17,male
567205,Netherlands,Bangladesh,Bangladesh,Netherlands,bat,Sportpark Westvliet,The Hague,2012-07-25,male
1497874,Pakistan,United Arab Emirates,Pakistan,Pakistan,bat,Sharjah Cricket Stadium,Sharjah,2025-08-30,male
356001,India,Ireland,India,India,field,Trent Bridge,Nottingham,2009-06-10,male
1387598,India,South Africa,South Africa,South Africa,field,"St George's Park, Gqeberha",Gqeberha,2023-12-12,male
1415732,Uganda,New Zealand,New Zealand,New Zealand,field,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,2024-06-14,male
951327,Bangladesh,Oman,Bangladesh,Oman,field,Himachal Pradesh Cricket Association Stadium,Dharamsala,2016-03-13,male
1424829,New Zealand,Pakistan,,New Zealand,bat,Rawalpindi Cricket Stadium,Rawalpindi,2024-04-18,male
754039,New Zealand,Pakistan,New Zealand,Pakistan,field,Dubai International Cricket Stadium,,2014-12-05,male
291356,Australia,India,Australia,India,bat,Melbourne Cricket Ground,,2008-02-01,male
423782,New Zealand,Bangladesh,New Zealand,Bangladesh,bat,Seddon Park,Hamilton,2010-02-03,male
1502053,Sri Lanka,Pakistan,Sri Lanka,Pakistan,field,Rawalpindi Cricket Stadium,Rawalpindi,2025-11-27,male
1472526,Pakistan,West Indies,West Indies,Pakistan,bat,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,2025-08-02,male
1233973,Australia,New Zealand,Australia,New Zealand,field,Westpac Stadium,Wellington,2021-03-03,male
1415724,Namibia,Australia,Australia,Australia,field,"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,2024-06-11,male
1448358,England,South Africa,England,South Africa,field,"Old Trafford, Manchester",Manchester,2025-09-12,male
1298149,Ireland,Sri Lanka,Sri Lanka,Ireland,bat,"Bellerive Oval, Hobart",Hobart,2022-10-23,male
727917,Australia,Pakistan,Australia,Pakistan,bat,Dubai International Cricket Stadium,,2014-10-05,male
951331,England,West Indies,West Indies,West Indies,field,Wankhede Stadium,Mumbai,2016-03-16,male
1157372,Pakistan,Australia,Pakistan,Australia,field,Sheikh Zayed Stadium,Abu Dhabi,2018-10-24,male
1198235,England,Australia,England,Australia,field,The Rose Bowl,Southampton,2020-09-04,male
366622,New Zealand,India,New Zealand,New Zealand,field,Westpac Stadium,Wellington,2009-02-27,male
