match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1493274,Sydney Thunder,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,Sydney Cricket Ground,Sydney,2026-01-16,male
1493275,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,field,Adelaide Oval,Adelaide,2026-01-17,male
1493276,Melbourne Stars,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Perth Stadium,Perth,2026-01-17,male
1493277,Brisbane Heat,Sydney Sixers,Sydney Sixers,Sydney Sixers,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2026-01-18,male
1493278,Perth Scorchers,Sydney Sixers,Perth Scorchers,Sydney Sixers,field,Perth Stadium,Perth,2026-01-20,male
1493279,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,"Bellerive Oval, Hobart",Hobart,2026-01-21,male
1493280,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,field,Sydney Cricket Ground,Sydney,2026-01-23,male
1493281,Sydney Sixers,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Perth Stadium,Perth,2026-01-25,male
524915,Sydney Sixers,Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,Sydney Cricket Ground,,2011-12-16,male
524916,Melbourne Stars,Sydney Thunder,Sydney Thunder,Sydney Thunder,field,Melbourne Cricket Ground,,2011-12-17,male
524917,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,Melbourne Renegades,field,Adelaide Oval,,2011-12-18,male
524918,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,bat,Western Australia Cricket Association Ground,Perth,2011-12-18,male
524919,Brisbane Heat,Melbourne Stars,Melbourne Stars,Melbourne Stars,bat,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2011-12-20,male
524920,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,bat,Bellerive Oval,Hobart,2011-12-21,male
524921,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Melbourne Renegades,bat,Docklands Stadium,Melbourne,2011-12-22,male
524922,Sydney Thunder,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,bat,Stadium Australia,Sydney,2011-12-23,male
524923,Sydney Sixers,Melbourne Stars,Sydney Sixers,Sydney Sixers,bat,Sydney Cricket Ground,,2011-12-27,male
524924,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Oval,,2011-12-28,male
524925,Perth Scorchers,Brisbane Heat,Perth Scorchers,Perth Scorchers,bat,Western Australia Cricket Association Ground,Perth,2011-12-29,male
524926,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,bat,Stadium Australia,Sydney,2011-12-30,male
524927,Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,Sydney Thunder,bat,Bellerive Oval,Hobart,2012-01-01,male
524928,Melbourne Renegades,Sydney Sixers,Melbourne Renegades,Sydney Sixers,bat,Docklands Stadium,Melbourne,2012-01-02,male
524930,Melbourne Stars,Perth Scorchers,Perth Scorchers,Perth Scorchers,bat,Melbourne Cricket Ground,,2012-01-04,male
524933,Sydney Thunder,Sydney Sixers,Sydney Sixers,Sydney Sixers,bat,Stadium Australia,Sydney,2012-01-08,male
524934,Perth Scorchers,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Western Australia Cricket Association Ground,Perth,2012-01-08,male
524935,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Melbourne Stars,bat,Bellerive Oval,Hobart,2012-01-09,male
524936,Adelaide Strikers,Sydney Sixers,Sydney Sixers,Sydney Sixers,bat,Adelaide Oval,,2012-01-10,male
524938,Melbourne Renegades,Brisbane Heat,Brisbane Heat,Brisbane Heat,bat,Docklands Stadium,Melbourne,2012-01-12,male
524939,Brisbane Heat,Sydney Thunder,Brisbane Heat,Sydney Thunder,field,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2012-01-17,male
524940,Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,bat,Bellerive Oval,Hobart,2012-01-18,male
524941,Sydney Sixers,Perth Scorchers,Sydney Sixers,Sydney Sixers,bat,Sydney Cricket Ground,,2012-01-18,male
524942,Melbourne Stars,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,bat,Melbourne Cricket Ground,,2012-01-19,male
524943,Perth Scorchers,Melbourne Stars,Perth Scorchers,Perth Scorchers,bat,Western Australia Cricket Association Ground,Perth,2012-01-21,male
524944,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,Sydney Sixers,bat,Bellerive Oval,Hobart,2012-01-22,male
524945,Perth Scorchers,Sydney Sixers,Sydney Sixers,Perth Scorchers,bat,Western Australia Cricket Association Ground,Perth,2012-01-28,male
571232,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,Melbourne Stars,bat,Docklands Stadium,Melbourne,2012-12-07,male
571233,Sydney Sixers,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Cricket Ground,,2012-12-08,male
571234,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2012-12-09,male
571235,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,Perth Scorchers,bat,Western Australia Cricket Association Ground,Perth,2012-12-09,male
571236,Perth Scorchers,Melbourne Stars,Melbourne Stars,Melbourne Stars,field,Western Australia Cricket Association Ground,Perth,2012-12-12,male
571237,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Brisbane Heat,field,Adelaide Oval,,2012-12-13,male
571238,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,field,Stadium Australia,Sydney,2012-12-14,male
571239,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Melbourne Cricket Ground,,2012-12-15,male
571240,Sydney Sixers,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,Sydney Cricket Ground,,2012-12-16,male
571241,Brisbane Heat,Perth Scorchers,Perth Scorchers,Perth Scorchers,field,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2012-12-18,male
571242,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,field,Docklands Stadium,Melbourne,2012-12-19,male
571243,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,Sydney Thunder,field,Stadium Australia,Sydney,2012-12-20,male
571245,Melbourne Renegades,Brisbane Heat,Melbourne Renegades,Brisbane Heat,bat,Docklands Stadium,Melbourne,2012-12-22,male
571247,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,Sydney Sixers,bat,Adelaide Oval,,2012-12-23,male
571248,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Cricket Ground,,2012-12-26,male
571249,Adelaide Strikers,Melbourne Stars,Melbourne Stars,Melbourne Stars,bat,Adelaide Oval,,2012-12-27,male
571250,Sydney Thunder,Brisbane Heat,Brisbane Heat,Sydney Thunder,bat,Stadium Australia,Sydney,2012-12-28,male
571251,Perth Scorchers,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,field,Western Australia Cricket Association Ground,Perth,2012-12-29,male
571252,Sydney Thunder,Sydney Sixers,Sydney Sixers,Sydney Thunder,bat,Stadium Australia,Sydney,2012-12-30,male
571254,Melbourne Renegades,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,field,Docklands Stadium,Melbourne,2013-01-02,male
571256,Perth Scorchers,Sydney Thunder,Perth Scorchers,Sydney Thunder,bat,Western Australia Cricket Association Ground,Perth,2013-01-04,male
571258,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,Melbourne Stars,bat,Melbourne Cricket Ground,,2013-01-06,male
571259,Brisbane Heat,Sydney Sixers,Sydney Sixers,Brisbane Heat,bat,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2013-01-07,male
571260,Melbourne Stars,Sydney Thunder,Melbourne Stars,Melbourne Stars,bat,Melbourne Cricket Ground,,2013-01-08,male
571262,Adelaide Strikers,Perth Scorchers,Perth Scorchers,Perth Scorchers,bat,Adelaide Oval,,2013-01-10,male
571264,Melbourne Renegades,Brisbane Heat,Brisbane Heat,Brisbane Heat,bat,Docklands Stadium,Melbourne,2013-01-15,male
571265,Perth Scorchers,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Western Australia Cricket Association Ground,Perth,2013-01-16,male
571266,Perth Scorchers,Brisbane Heat,Brisbane Heat,Brisbane Heat,bat,Western Australia Cricket Association Ground,Perth,2013-01-19,male
654031,Melbourne Stars,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,field,Melbourne Cricket Ground,,2013-12-20,male
654033,Sydney Sixers,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Cricket Ground,,2013-12-21,male
654035,Hobart Hurricanes,Adelaide Strikers,,Hobart Hurricanes,field,Bellerive Oval,Hobart,2013-12-22,male
654037,Brisbane Heat,Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2013-12-22,male
654039,Perth Scorchers,Melbourne Renegades,Perth Scorchers,Perth Scorchers,bat,Western Australia Cricket Association Ground,Perth,2013-12-26,male
654041,Sydney Thunder,Adelaide Strikers,Adelaide Strikers,Sydney Thunder,field,Stadium Australia,Sydney,2013-12-27,male
