match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1502754,Nigeria,Kenya,Kenya,Nigeria,bat,"Takashinga Sports Club, Highfield, Harare",Harare,2025-09-30,male
1282740,Denmark,Germany,Germany,Denmark,bat,"Desert Springs Cricket Ground, Almeria",Almeria,2021-10-16,male
1199509,Canada,Jersey,Canada,Jersey,field,Tolerance Oval,Abu Dhabi,2019-10-20,male
966753,Bangladesh,Sri Lanka,Bangladesh,Bangladesh,bat,Shere Bangla National Stadium,Mirpur,2016-02-28,male
1273755,Pakistan,Australia,Australia,Australia,field,Dubai International Cricket Stadium,Dubai,2021-11-11,male
1289049,Nigeria,Uganda,Uganda,Uganda,field,Integrated Polytechnic Regional Centre,Kigali City,2021-11-18,male
1494772,Estonia,Finland,Finland,Finland,field,Estonian National Cricket and Rugby Field,Tallinn,2025-07-27,male
1450757,Ghana,Lesotho,Ghana,Ghana,bat,University of Dar-es-Salaam Ground,Dar-es-Salaam,2024-09-24,male
1388214,New Zealand,Bangladesh,,Bangladesh,field,"Bay Oval, Mount Maunganui",Mount Maunganui,2023-12-29,male
1343740,Botswana,Rwanda,Rwanda,Rwanda,field,Gahanga International Cricket Stadium. Rwanda,Kigali City,2022-11-17,male
1422038,Netherlands,Nepal,Netherlands,Nepal,field,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2024-02-28,male
1527158,Bahrain,Malaysia,Bahrain,Bahrain,bat,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,2026-03-08,male
1298176,India,Zimbabwe,India,India,bat,Melbourne Cricket Ground,Melbourne,2022-11-06,male
1496827,Sweden,Norway,Norway,Sweden,bat,"Stubberudmyra Cricket Ground, Oslo",Oslo,2025-08-17,male
361530,Ireland,Kenya,Ireland,Ireland,field,"Civil Service Cricket Club, Stormont",Belfast,2008-08-04,male
1361774,Kuwait,Bahrain,Bahrain,Bahrain,field,"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,2023-03-11,male
682917,United Arab Emirates,Zimbabwe,Zimbabwe,Zimbabwe,field,Sylhet Stadium,,2014-03-21,male
1187669,New Zealand,England,,England,field,Eden Park,Auckland,2019-11-10,male
1462919,Nigeria,Botswana,Nigeria,Botswana,field,"Gahanga International Cricket Stadium, Rwanda",Kigali City,2024-12-05,male
1519636,Pakistan,Australia,Pakistan,Pakistan,bat,"Gaddafi Stadium, Lahore",Lahore,2026-01-29,male
1389393,India,Australia,Australia,Australia,field,"Barsapara Cricket Stadium, Guwahati",Guwahati,2023-11-28,male
1267311,Bulgaria,Greece,,Greece,field,"National Sports Academy, Sofia",Sofia,2021-06-26,male
430884,India,Sri Lanka,Sri Lanka,India,field,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,2009-12-09,male
225263,England,Pakistan,Pakistan,England,bat,County Ground,Bristol,2006-08-28,male
